case,event
case50,G
case50,H
case50,J
case50,R
case50,S
case50,K
case50,N
case50,K
case50,L
case50,O
case50,Q
case50,Z
case51,A
case51,B
case51,C
case51,E
case51,G
case51,H
case51,J
case51,R
case51,S
case51,R
case51,S
case51,K
case51,L
case51,O
case51,Q
case51,Z
case52,A
case52,B
case52,C
case52,E
case52,G
case52,H
case52,J
case52,K
case52,L
case52,M
case52,N
case52,K
case52,L
case52,O
case52,Q
case52,Z
case53,A
case53,B
case53,C
case53,E
case53,G
case53,H
case53,J
case53,K
case53,L
case53,O
case53,P
case53,K
case53,L
case53,O
case53,Q
case53,Z
case54,A
case54,B
case54,C
case54,E
case54,G
case54,H
case54,J
case54,K
case54,N
case54,K
case54,L
case54,M
case54,L
case54,O
case54,Q
case54,Z
case55,A
case55,B
case55,C
case55,E
case55,G
case55,H
case55,J
case55,K
case55,N
case55,R
case55,S
case55,K
case55,L
case55,O
case55,Q
case55,Z
case56,A
case56,B
case56,C
case56,D
case56,F
case56,B
case56,C
case56,E
case56,H
case56,G
case56,J
case56,R
case56,T
case56,W
case56,T
case56,Y
case56,Z
case57,A
case57,B
case57,C
case57,D
case57,F
case57,B
case57,C
case57,E
case57,H
case57,G
case57,J
case57,R
case57,S
case57,R
case57,T
case57,Y
case57,Z
case58,A
case58,B
case58,C
case58,D
case58,F
case58,B
case58,C
case58,E
case58,H
case58,G
case58,J
case58,K
case58,N
case58,R
case58,T
case58,Y
case58,Z
case59,A
case59,B
case59,C
case59,D
case59,F
case59,B
case59,C
case59,E
case59,G
case59,H
case59,J
case59,R
case59,T
case59,W
case59,T
case59,Y
case59,Z
case60,A
case60,B
case60,C
case60,D
case60,F
case60,B
case60,C
case60,E
case60,G
case60,H
case60,J
case60,R
case60,S
case60,R
case60,T
case60,Y
case60,Z
case61,A
case61,B
case61,C
case61,D
case61,F
case61,B
case61,C
case61,E
case61,G
case61,H
case61,J
case61,K
case61,N
case61,R
case61,T
case61,Y
case61,Z
case62,A
case62,B
case62,C
case62,E
case62,H
case62,G
case62,J
case62,R
case62,T
case62,W
case62,S
case62,K
case62,N
case62,R
case62,T
case62,Y
case62,Z
case63,A
case63,B
case63,C
case63,E
case63,H
case63,G
case63,J
case63,R
case63,S
case63,K
case63,L
case63,M
case63,N
case63,R
case63,T
case63,Y
case63,Z
case64,A
case64,B
case64,C
case64,E
case64,H
case64,G
case64,J
case64,R
case64,S
case64,K
case64,L
case64,O
case64,P
case64,R
case64,T
case64,Y
case64,Z
case65,A
case65,B
case65,C
case65,E
case65,H
case65,G
case65,J
case65,R
case65,S
case65,K
case65,N
case65,K
case65,N
case65,R
case65,T
case65,Y
case65,Z
case66,A
case66,B
case66,C
case66,E
case66,H
case66,G
case66,J
case66,R
case66,S
case66,K
case66,N
case66,R
case66,T
case66,W
case66,T
case66,Y
case66,Z
case67,A
case67,B
case67,C
case67,E
case67,H
case67,G
case67,J
case67,K
case67,L
case67,M
case67,L
case67,M
case67,N
case67,R
case67,T
case67,Y
case67,Z
case68,A
case68,B
case68,C
case68,E
case68,H
case68,G
case68,J
case68,K
case68,L
case68,M
case68,L
case68,O
case68,P
case68,R
case68,T
case68,Y
case68,Z
case69,A
case69,B
case69,C
case69,E
case69,H
case69,G
case69,J
case69,K
case69,L
case69,M
case69,N
case69,K
case69,N
case69,R
case69,T
case69,Y
case69,Z
case70,A
case70,B
case70,C
case70,E
case70,H
case70,G
case70,J
case70,K
case70,L
case70,M
case70,N
case70,R
case70,T
case70,W
case70,T
case70,Y
case70,Z
case71,A
case71,B
case71,C
case71,E
case71,H
case71,G
case71,J
case71,K
case71,L
case71,M
case71,N
case71,R
case71,S
case71,R
case71,T
case71,Y
case71,Z
case72,A
case72,B
case72,C
case72,E
case72,H
case72,G
case72,J
case72,K
case72,L
case72,O
case72,P
case72,R
case72,T
case72,W
case72,T
case72,Y
case72,Z
case73,A
case73,B
case73,C
case73,E
case73,H
case73,G
case73,J
case73,K
case73,L
case73,O
case73,P
case73,R
case73,S
case73,R
case73,T
case73,Y
case73,Z
case74,A
case74,B
case74,C
case74,E
case74,H
case74,G
case74,J
case74,K
case74,L
case74,O
case74,P
case74,K
case74,N
case74,R
case74,T
case74,Y
case74,Z
case75,A
case75,B
case75,C
case75,E
case75,H
case75,G
case75,J
case75,K
case75,N
case75,K
case75,L
case75,M
case75,N
case75,R
case75,T
case75,Y
case75,Z
case76,A
case76,B
case76,C
case76,E
case76,H
case76,G
case76,J
case76,K
case76,N
case76,K
case76,L
case76,O
case76,P
case76,R
case76,T
case76,Y
case76,Z
case77,A
case77,B
case77,C
case77,E
case77,H
case77,G
case77,J
case77,K
case77,N
case77,K
case77,N
case77,R
case77,T
case77,W
case77,T
case77,Y
case77,Z
case78,A
case78,B
case78,C
case78,E
case78,H
case78,G
case78,J
case78,K
case78,N
case78,K
case78,N
case78,R
case78,S
case78,R
case78,T
case78,Y
case78,Z
case79,A
case79,B
case79,C
case79,E
case79,H
case79,G
case79,J
case79,K
case79,N
case79,R
case79,T
case79,W
case79,S
case79,R
case79,T
case79,Y
case79,Z
case80,A
case80,B
case80,C
case80,E
case80,H
case80,G
case80,J
case80,K
case80,N
case80,R
case80,S
case80,K
case80,N
case80,R
case80,T
case80,Y
case80,Z
case81,A
case81,B
case81,C
case81,E
case81,H
case81,G
case81,J
case81,K
case81,N
case81,R
case81,S
case81,R
case81,T
case81,W
case81,T
case81,Y
case81,Z
case82,A
case82,B
case82,C
case82,E
case82,G
case82,H
case82,J
case82,R
case82,T
case82,W
case82,S
case82,K
case82,N
case82,R
case82,T
case82,Y
case82,Z
case83,A
case83,B
case83,C
case83,E
case83,G
case83,H
case83,J
case83,R
case83,S
case83,K
case83,L
case83,M
case83,N
case83,R
case83,T
case83,Y
case83,Z
case84,A
case84,B
case84,C
case84,E
case84,G
case84,H
case84,J
case84,R
case84,S
case84,K
case84,L
case84,O
case84,P
case84,R
case84,T
case84,Y
case84,Z
case85,A
case85,B
case85,C
case85,E
case85,G
case85,H
case85,J
case85,R
case85,S
case85,K
case85,N
case85,K
case85,N
case85,R
case85,T
case85,Y
case85,Z
case86,A
case86,B
case86,C
case86,E
case86,G
case86,H
case86,J
case86,R
case86,S
case86,K
case86,N
case86,R
case86,T
case86,W
case86,T
case86,Y
case86,Z
case87,A
case87,B
case87,C
case87,E
case87,G
case87,H
case87,J
case87,K
case87,L
case87,M
case87,L
case87,M
case87,N
case87,R
case87,T
case87,Y
case87,Z
case88,A
case88,B
case88,C
case88,E
case88,G
case88,H
case88,J
case88,K
case88,L
case88,M
case88,L
case88,O
case88,P
case88,R
case88,T
case88,Y
case88,Z
case89,A
case89,B
case89,C
case89,E
case89,G
case89,H
case89,J
case89,K
case89,L
case89,M
case89,N
case89,K
case89,N
case89,R
case89,T
case89,Y
case89,Z
case90,A
case90,B
case90,C
case90,E
case90,G
case90,H
case90,J
case90,K
case90,L
case90,M
case90,N
case90,R
case90,T
case90,W
case90,T
case90,Y
case90,Z
case91,A
case91,B
case91,C
case91,E
case91,G
case91,H
case91,J
case91,K
case91,L
case91,M
case91,N
case91,R
case91,S
case91,R
case91,T
case91,Y
case91,Z
case92,A
case92,B
case92,C
case92,E
case92,G
case92,H
case92,J
case92,K
case92,L
case92,O
case92,P
case92,R
case92,T
case92,W
case92,T
case92,Y
case92,Z
case93,A
case93,B
case93,C
case93,E
case93,G
case93,H
case93,J
case93,K
case93,L
case93,O
case93,P
case93,R
case93,S
case93,R
case93,T
case93,Y
case93,Z
case94,A
case94,B
case94,C
case94,E
case94,G
case94,H
case94,J
case94,K
case94,L
case94,O
case94,P
case94,K
case94,N
case94,R
case94,T
case94,Y
case94,Z
case95,A
case95,B
case95,C
case95,E
case95,G
case95,H
case95,J
case95,K
case95,N
case95,K
case95,L
case95,M
case95,N
case95,R
case95,T
case95,Y
case95,Z
case96,A
case96,B
case96,C
case96,E
case96,G
case96,H
case96,J
case96,K
case96,N
case96,K
case96,L
case96,O
case96,P
case96,R
case96,T
case96,Y
case96,Z
case97,A
case97,B
case97,C
case97,E
case97,G
case97,H
case97,J
case97,K
case97,N
case97,K
case97,N
case97,R
case97,T
case97,W
case97,T
case97,Y
case97,Z
case98,A
case98,B
case98,C
case98,E
case98,G
case98,H
case98,J
case98,K
case98,N
case98,K
case98,N
case98,R
case98,S
case98,R
case98,T
case98,Y
case98,Z
case99,A
case99,B
case99,C
case99,E
case99,G
case99,H
case99,J
case99,K
case99,N
case99,R
case99,T
case99,W
case99,S
case99,R
case99,T
case99,Y
case99,Z
case100,A
case100,B
case100,C
case100,E
case100,G
case100,H
case100,J
case100,K
case100,N
case100,R
case100,S
case100,K
case100,N
case100,R
case100,T
case100,Y
case100,Z
case101,A
case101,B
case101,C
case101,E
case101,G
case101,H
case101,J
case101,K
case101,N
case101,R
case101,S
case101,R
case101,T
case101,W
case101,T
case101,Y
case101,Z
case102,A
case102,B
case102,C
case102,D
case102,F
case102,B
case102,C
case102,E
case102,H
case102,G
case102,J
case102,R
case102,S
case102,K
case102,L
case102,O
case102,Q
case102,Z
case103,A
case103,B
case103,C
case103,D
case103,F
case103,B
case103,C
case103,E
case103,H
case103,G
case103,J
case103,K
case103,L
case103,M
case103,L
case103,O
case103,Q
case103,Z
case104,A
case104,B
case104,C
case104,D
case104,F
case104,B
case104,C
case104,E
case104,H
case104,G
case104,J
case104,K
case104,N
case104,K
case104,L
case104,O
case104,Q
case104,Z
case105,A
case105,B
case105,C
case105,D
case105,F
case105,B
case105,C
case105,E
case105,G
case105,H
case105,J
case105,R
case105,S
case105,K
case105,L
case105,O
case105,Q
case105,Z
case106,A
case106,B
case106,C
case106,D
case106,F
case106,B
case106,C
case106,E
case106,G
case106,H
case106,J
case106,K
case106,L
case106,M
case106,L
case106,O
case106,Q
case106,Z
case107,A
case107,B
case107,C
case107,D
case107,F
case107,B
case107,C
case107,E
case107,G
case107,H
case107,J
case107,K
case107,N
case107,K
case107,L
case107,O
case107,Q
case107,Z
case108,A
case108,B
case108,C
case108,E
case108,H
case108,G
case108,J
case108,R
case108,T
case108,W
case108,T
case108,W
case108,S
case108,K
case108,L
case108,O
case108,Q
case108,Z
case109,A
case109,B
case109,C
case109,E
case109,H
case109,G
case109,J
case109,R
case109,T
case109,W
case109,S
case109,K
case109,L
case109,M
case109,L
case109,O
case109,Q
case109,Z
case110,A
case110,B
case110,C
case110,E
case110,H
case110,G
case110,J
case110,R
case110,T
case110,W
case110,S
case110,K
case110,N
case110,K
case110,L
case110,O
case110,Q
case110,Z
case111,A
case111,B
case111,C
case111,E
case111,H
case111,G
case111,J
case111,R
case111,T
case111,W
case111,S
case111,R
case111,S
case111,K
case111,L
case111,O
case111,Q
case111,Z
case112,A
case112,B
case112,C
case112,E
case112,H
case112,G
case112,J
case112,R
case112,S
case112,K
case112,L
case112,M
case112,N
case112,K
case112,L
case112,O
case112,Q
case112,Z
case113,A
case113,B
case113,C
case113,E
case113,H
case113,G
case113,J
case113,R
case113,S
case113,K
case113,L
case113,O
case113,P
case113,K
case113,L
case113,O
case113,Q
case113,Z
case114,A
case114,B
case114,C
case114,E
case114,H
case114,G
case114,J
case114,R
case114,S
case114,K
case114,N
case114,K
case114,L
case114,M
case114,L
case114,O
case114,Q
case114,Z
case115,A
case115,B
case115,C
case115,E
case115,H
case115,G
case115,J
case115,R
case115,S
case115,K
case115,N
case115,R
case115,S
case115,K
case115,L
case115,O
case115,Q
case115,Z
case116,A
case116,B
case116,C
case116,E
case116,H
case116,G
case116,J
case116,R
case116,S
case116,R
case116,T
case116,W
case116,S
case116,K
case116,L
case116,O
case116,Q
case116,Z
case117,A
case117,B
case117,C
case117,E
case117,H
case117,G
case117,J
case117,R
case117,S
case117,R
case117,S
case117,K
case117,L
case117,M
case117,L
case117,O
case117,Q
case117,Z
case118,A
case118,B
case118,C
case118,E
case118,H
case118,G
case118,J
case118,R
case118,S
case118,R
case118,S
case118,K
case118,N
case118,K
case118,L
case118,O
case118,Q
case118,Z
case119,A
case119,B
case119,C
case119,E
case119,H
case119,G
case119,J
case119,K
case119,L
case119,M
case119,N
case119,R
case119,S
case119,K
case119,L
case119,O
case119,Q
case119,Z
case120,A
case120,B
case120,C
case120,E
case120,H
case120,G
case120,J
case120,K
case120,L
case120,O
case120,P
case120,R
case120,S
case120,K
case120,L
case120,O
case120,Q
case120,Z
case121,A
case121,B
case121,C
case121,E
case121,H
case121,G
case121,J
case121,K
case121,N
case121,R
case121,T
case121,W
case121,S
case121,K
case121,L
case121,O
case121,Q
case121,Z
case122,A
case122,B
case122,C
case122,E
case122,H
case122,G
case122,J
case122,K
case122,N
case122,R
case122,S
case122,K
case122,L
case122,M
case122,L
case122,O
case122,Q
case122,Z
case123,A
case123,B
case123,C
case123,E
case123,H
case123,G
case123,J
case123,K
case123,N
case123,R
case123,S
case123,R
case123,S
case123,K
case123,L
case123,O
case123,Q
case123,Z
case124,A
case124,B
case124,C
case124,E
case124,G
case124,H
case124,J
case124,R
case124,T
case124,W
case124,T
case124,W
case124,S
case124,K
case124,L
case124,O
case124,Q
case124,Z
case125,A
case125,B
case125,C
case125,E
case125,G
case125,H
case125,J
case125,R
case125,T
case125,W
case125,S
case125,K
case125,L
case125,M
case125,L
case125,O
case125,Q
case125,Z
case126,A
case126,B
case126,C
case126,E
case126,G
case126,H
case126,J
case126,R
case126,T
case126,W
case126,S
case126,K
case126,N
case126,K
case126,L
case126,O
case126,Q
case126,Z
case127,A
case127,B
case127,C
case127,E
case127,G
case127,H
case127,J
case127,R
case127,T
case127,W
case127,S
case127,R
case127,S
case127,K
case127,L
case127,O
case127,Q
case127,Z
case128,A
case128,B
case128,C
case128,E
case128,G
case128,H
case128,J
case128,R
case128,S
case128,K
case128,L
case128,M
case128,N
case128,K
case128,L
case128,O
case128,Q
case128,Z
case129,A
case129,B
case129,C
case129,E
case129,G
case129,H
case129,J
case129,R
case129,S
case129,K
case129,L
case129,O
case129,P
case129,K
case129,L
case129,O
case129,Q
case129,Z
case130,A
case130,B
case130,C
case130,E
case130,G
case130,H
case130,J
case130,R
case130,S
case130,K
case130,N
case130,K
case130,L
case130,M
case130,L
case130,O
case130,Q
case130,Z
case131,A
case131,B
case131,C
case131,E
case131,G
case131,H
case131,J
case131,R
case131,S
case131,K
case131,N
case131,R
case131,S
case131,K
case131,L
case131,O
case131,Q
case131,Z
case132,A
case132,B
case132,C
case132,E
case132,G
case132,H
case132,J
case132,R
case132,S
case132,R
case132,T
case132,W
case132,S
case132,K
case132,L
case132,O
case132,Q
case132,Z
case133,A
case133,B
case133,C
case133,E
case133,G
case133,H
case133,J
case133,R
case133,S
case133,R
case133,S
case133,K
case133,L
case133,M
case133,L
case133,O
case133,Q
case133,Z
case134,A
case134,B
case134,C
case134,E
case134,G
case134,H
case134,J
case134,R
case134,S
case134,R
case134,S
case134,K
case134,N
case134,K
case134,L
case134,O
case134,Q
case134,Z
case135,A
case135,B
case135,C
case135,E
case135,G
case135,H
case135,J
case135,K
case135,L
case135,M
case135,N
case135,R
case135,S
case135,K
case135,L
case135,O
case135,Q
case135,Z
case136,A
case136,B
case136,C
case136,E
case136,G
case136,H
case136,J
case136,K
case136,L
case136,O
case136,P
case136,R
case136,S
case136,K
case136,L
case136,O
case136,Q
case136,Z
case137,A
case137,B
case137,C
case137,E
case137,G
case137,H
case137,J
case137,K
case137,N
case137,R
case137,T
case137,W
case137,S
case137,K
case137,L
case137,O
case137,Q
case137,Z
case138,A
case138,B
case138,C
case138,E
case138,G
case138,H
case138,J
case138,K
case138,N
case138,R
case138,S
case138,K
case138,L
case138,M
case138,L
case138,O
case138,Q
case138,Z
case139,A
case139,B
case139,C
case139,E
case139,G
case139,H
case139,J
case139,K
case139,N
case139,R
case139,S
case139,R
case139,S
case139,K
case139,L
case139,O
case139,Q
case139,Z
case140,A
case140,B
case140,C
case140,D
case140,F
case140,B
case140,C
case140,E
case140,H
case140,G
case140,J
case140,R
case140,T
case140,W
case140,S
case140,R
case140,T
case140,Y
case140,Z
case141,A
case141,B
case141,C
case141,D
case141,F
case141,B
case141,C
case141,E
case141,H
case141,G
case141,J
case141,R
case141,S
case141,K
case141,N
case141,R
case141,T
case141,Y
case141,Z
case142,A
case142,B
case142,C
case142,D
case142,F
case142,B
case142,C
case142,E
case142,H
case142,G
case142,J
case142,R
case142,S
case142,R
case142,T
case142,W
case142,T
case142,Y
case142,Z
case143,A
case143,B
case143,C
case143,D
case143,F
case143,B
case143,C
case143,E
case143,H
case143,G
case143,J
case143,K
case143,L
case143,M
case143,N
case143,R
case143,T
case143,Y
case143,Z
case144,A
case144,B
case144,C
case144,D
case144,F
case144,B
case144,C
case144,E
case144,H
case144,G
case144,J
case144,K
case144,L
case144,O
case144,P
case144,R
case144,T
case144,Y
case144,Z
case145,A
case145,B
case145,C
case145,D
case145,F
case145,B
case145,C
case145,E
case145,H
case145,G
case145,J
case145,K
case145,N
case145,K
case145,N
case145,R
case145,T
case145,Y
case145,Z
case146,A
case146,B
case146,C
case146,D
case146,F
case146,B
case146,C
case146,E
case146,H
case146,G
case146,J
case146,K
case146,N
case146,R
case146,T
case146,W
case146,T
case146,Y
case146,Z
case147,A
case147,B
case147,C
case147,D
case147,F
case147,B
case147,C
case147,E
case147,H
case147,G
case147,J
case147,K
case147,N
case147,R
case147,S
case147,R
case147,T
case147,Y
case147,Z
case148,A
case148,B
case148,C
case148,D
case148,F
case148,B
case148,C
case148,E
case148,G
case148,H
case148,J
case148,R
case148,T
case148,W
case148,S
case148,R
case148,T
case148,Y
case148,Z
case149,A
case149,B
case149,C
case149,D
case149,F
case149,B
case149,C
case149,E
case149,G
case149,H
case149,J
case149,R
case149,S
case149,K
case149,N
case149,R
case149,T
case149,Y
case149,Z
case150,A
case150,B
case150,C
case150,D
case150,F
case150,B
case150,C
case150,E
case150,G
case150,H
case150,J
case150,R
case150,S
case150,R
case150,T
case150,W
case150,T
case150,Y
case150,Z
case151,A
case151,B
case151,C
case151,D
case151,F
case151,B
case151,C
case151,E
case151,G
case151,H
case151,J
case151,K
case151,L
case151,M
case151,N
case151,R
case151,T
case151,Y
case151,Z
case152,A
case152,B
case152,C
case152,D
case152,F
case152,B
case152,C
case152,E
case152,G
case152,H
case152,J
case152,K
case152,L
case152,O
case152,P
case152,R
case152,T
case152,Y
case152,Z
case153,A
case153,B
case153,C
case153,D
case153,F
case153,B
case153,C
case153,E
case153,G
case153,H
case153,J
case153,K
case153,N
case153,K
case153,N
case153,R
case153,T
case153,Y
case153,Z
case154,A
case154,B
case154,C
case154,D
case154,F
case154,B
case154,C
case154,E
case154,G
case154,H
case154,J
case154,K
case154,N
case154,R
case154,T
case154,W
case154,T
case154,Y
case154,Z
case155,A
case155,B
case155,C
case155,D
case155,F
case155,B
case155,C
case155,E
case155,G
case155,H
case155,J
case155,K
case155,N
case155,R
case155,S
case155,R
case155,T
case155,Y
case155,Z
case156,A
case156,B
case156,C
case156,E
case156,H
case156,G
case156,J
case156,R
case156,T
case156,W
case156,S
case156,K
case156,L
case156,M
case156,N
case156,R
case156,T
case156,Y
case156,Z
case157,A
case157,B
case157,C
case157,E
case157,H
case157,G
case157,J
case157,R
case157,T
case157,W
case157,S
case157,K
case157,L
case157,O
case157,P
case157,R
case157,T
case157,Y
case157,Z
case158,A
case158,B
case158,C
case158,E
case158,H
case158,G
case158,J
case158,R
case158,T
case158,W
case158,S
case158,K
case158,N
case158,K
case158,N
case158,R
case158,T
case158,Y
case158,Z
case159,A
case159,B
case159,C
case159,E
case159,H
case159,G
case159,J
case159,R
case159,S
case159,K
case159,L
case159,M
case159,L
case159,M
case159,N
case159,R
case159,T
case159,Y
case159,Z
case160,A
case160,B
case160,C
case160,E
case160,H
case160,G
case160,J
case160,R
case160,S
case160,K
case160,L
case160,M
case160,L
case160,O
case160,P
case160,R
case160,T
case160,Y
case160,Z
case161,A
case161,B
case161,C
case161,E
case161,H
case161,G
case161,J
case161,R
case161,S
case161,K
case161,L
case161,M
case161,N
case161,K
case161,N
case161,R
case161,T
case161,Y
case161,Z
case162,A
case162,B
case162,C
case162,E
case162,H
case162,G
case162,J
case162,R
case162,S
case162,K
case162,L
case162,M
case162,N
case162,R
case162,T
case162,W
case162,T
case162,Y
case162,Z
case163,A
case163,B
case163,C
case163,E
case163,H
case163,G
case163,J
case163,R
case163,S
case163,K
case163,L
case163,O
case163,P
case163,R
case163,T
case163,W
case163,T
case163,Y
case163,Z
case164,A
case164,B
case164,C
case164,E
